"timeslice","energy"
"d001","0.032258064516129031"
"d002","0.032258064516129031"
"d003","0.032258064516129031"
"d004","0.032258064516129031"
"d005","0.032258064516129031"
"d006","0.032258064516129031"
"d007","0.032258064516129031"
"d008","0.032258064516129031"
"d009","0.032258064516129031"
"d010","0.032258064516129031"
"d011","0.032258064516129031"
"d012","0.032258064516129031"
"d013","0.032258064516129031"
"d014","0.032258064516129031"
"d015","0.032258064516129031"
"d016","0.032258064516129031"
"d017","0.032258064516129031"
"d018","0.032258064516129031"
"d019","0.032258064516129031"
"d020","0.032258064516129031"
"d021","0.032258064516129031"
"d022","0.032258064516129031"
"d023","0.032258064516129031"
"d024","0.032258064516129031"
"d025","0.032258064516129031"
"d026","0.032258064516129031"
"d027","0.032258064516129031"
"d028","0.032258064516129031"
"d029","0.032258064516129031"
"d030","0.032258064516129031"
"d031","0.032258064516129031"
"d032","0.035714285714285712"
"d033","0.035714285714285712"
"d034","0.035714285714285712"
"d035","0.035714285714285712"
"d036","0.035714285714285712"
"d037","0.035714285714285712"
"d038","0.035714285714285712"
"d039","0.035714285714285712"
"d040","0.035714285714285712"
"d041","0.035714285714285712"
"d042","0.035714285714285712"
"d043","0.035714285714285712"
"d044","0.035714285714285712"
"d045","0.035714285714285712"
"d046","0.035714285714285712"
"d047","0.035714285714285712"
"d048","0.035714285714285712"
"d049","0.035714285714285712"
"d050","0.035714285714285712"
"d051","0.035714285714285712"
"d052","0.035714285714285712"
"d053","0.035714285714285712"
"d054","0.035714285714285712"
"d055","0.035714285714285712"
"d056","0.035714285714285712"
"d057","0.035714285714285712"
"d058","0.035714285714285712"
"d059","0.035714285714285712"
"d060","0.032258064516129031"
"d061","0.032258064516129031"
"d062","0.032258064516129031"
"d063","0.032258064516129031"
"d064","0.032258064516129031"
"d065","0.032258064516129031"
"d066","0.032258064516129031"
"d067","0.032258064516129031"
"d068","0.032258064516129031"
"d069","0.032258064516129031"
"d070","0.032258064516129031"
"d071","0.032258064516129031"
"d072","0.032258064516129031"
"d073","0.032258064516129031"
"d074","0.032258064516129031"
"d075","0.032258064516129031"
"d076","0.032258064516129031"
"d077","0.032258064516129031"
"d078","0.032258064516129031"
"d079","0.032258064516129031"
"d080","0.032258064516129031"
"d081","0.032258064516129031"
"d082","0.032258064516129031"
"d083","0.032258064516129031"
"d084","0.032258064516129031"
"d085","0.032258064516129031"
"d086","0.032258064516129031"
"d087","0.032258064516129031"
"d088","0.032258064516129031"
"d089","0.032258064516129031"
"d090","0.032258064516129031"
"d091","0.033333333333333333"
"d092","0.033333333333333333"
"d093","0.033333333333333333"
"d094","0.033333333333333333"
"d095","0.033333333333333333"
"d096","0.033333333333333333"
"d097","0.033333333333333333"
"d098","0.033333333333333333"
"d099","0.033333333333333333"
"d100","0.033333333333333333"
"d101","0.033333333333333333"
"d102","0.033333333333333333"
"d103","0.033333333333333333"
"d104","0.033333333333333333"
"d105","0.033333333333333333"
"d106","0.033333333333333333"
"d107","0.033333333333333333"
"d108","0.033333333333333333"
"d109","0.033333333333333333"
"d110","0.033333333333333333"
"d111","0.033333333333333333"
"d112","0.033333333333333333"
"d113","0.033333333333333333"
"d114","0.033333333333333333"
"d115","0.033333333333333333"
"d116","0.033333333333333333"
"d117","0.033333333333333333"
"d118","0.033333333333333333"
"d119","0.033333333333333333"
"d120","0.033333333333333333"
"d121","0.032258064516129031"
"d122","0.032258064516129031"
"d123","0.032258064516129031"
"d124","0.032258064516129031"
"d125","0.032258064516129031"
"d126","0.032258064516129031"
"d127","0.032258064516129031"
"d128","0.032258064516129031"
"d129","0.032258064516129031"
"d130","0.032258064516129031"
"d131","0.032258064516129031"
"d132","0.032258064516129031"
"d133","0.032258064516129031"
"d134","0.032258064516129031"
"d135","0.032258064516129031"
"d136","0.032258064516129031"
"d137","0.032258064516129031"
"d138","0.032258064516129031"
"d139","0.032258064516129031"
"d140","0.032258064516129031"
"d141","0.032258064516129031"
"d142","0.032258064516129031"
"d143","0.032258064516129031"
"d144","0.032258064516129031"
"d145","0.032258064516129031"
"d146","0.032258064516129031"
"d147","0.032258064516129031"
"d148","0.032258064516129031"
"d149","0.032258064516129031"
"d150","0.032258064516129031"
"d151","0.032258064516129031"
"d152","0.033333333333333333"
"d153","0.033333333333333333"
"d154","0.033333333333333333"
"d155","0.033333333333333333"
"d156","0.033333333333333333"
"d157","0.033333333333333333"
"d158","0.033333333333333333"
"d159","0.033333333333333333"
"d160","0.033333333333333333"
"d161","0.033333333333333333"
"d162","0.033333333333333333"
"d163","0.033333333333333333"
"d164","0.033333333333333333"
"d165","0.033333333333333333"
"d166","0.033333333333333333"
"d167","0.033333333333333333"
"d168","0.033333333333333333"
"d169","0.033333333333333333"
"d170","0.033333333333333333"
"d171","0.033333333333333333"
"d172","0.033333333333333333"
"d173","0.033333333333333333"
"d174","0.033333333333333333"
"d175","0.033333333333333333"
"d176","0.033333333333333333"
"d177","0.033333333333333333"
"d178","0.033333333333333333"
"d179","0.033333333333333333"
"d180","0.033333333333333333"
"d181","0.033333333333333333"
"d182","0.032258064516129031"
"d183","0.032258064516129031"
"d184","0.032258064516129031"
"d185","0.032258064516129031"
"d186","0.032258064516129031"
"d187","0.032258064516129031"
"d188","0.032258064516129031"
"d189","0.032258064516129031"
"d190","0.032258064516129031"
"d191","0.032258064516129031"
"d192","0.032258064516129031"
"d193","0.032258064516129031"
"d194","0.032258064516129031"
"d195","0.032258064516129031"
"d196","0.032258064516129031"
"d197","0.032258064516129031"
"d198","0.032258064516129031"
"d199","0.032258064516129031"
"d200","0.032258064516129031"
"d201","0.032258064516129031"
"d202","0.032258064516129031"
"d203","0.032258064516129031"
"d204","0.032258064516129031"
"d205","0.032258064516129031"
"d206","0.032258064516129031"
"d207","0.032258064516129031"
"d208","0.032258064516129031"
"d209","0.032258064516129031"
"d210","0.032258064516129031"
"d211","0.032258064516129031"
"d212","0.032258064516129031"
"d213","0.032258064516129031"
"d214","0.032258064516129031"
"d215","0.032258064516129031"
